เกรดเฉลี่ยสะสม,รายได้ต่อเดือนของนักศึกษา (บาท),รายจ่ายต่อเดือนของนักศึกษา (บาท),รายได้ต่อเดือนของครอบครัว (บาท),ระยะทางจากที่พักมาห้องเรียน (กิโลเมตร),การใช้อินเตอร์อินเน็ตกี่ชั่วโมงใน 1 วัน ,เพศ_ชาย,เพศ_หญิง,ชั้นปี_ชั้นปีที่ 2,ชั้นปี_ชั้นปีที่ 3,ชั้นปี_ชั้นปีที่ 4,สาขา_คณิตศาสตร์,สาขา_จุลชีววิทยา,สาขา_ชีววิทยา,สาขา_ฟิสิกส์,สาขา_วัสดุศาสตร์,สาขา_วิทยาการคอมพิวเตอร์,สาขา_วิทยาศาสตร์พอลิเมอร์,สาขา_สถิติ,สาขา_เคมี,สาขา_เคมี - ชีววิทยาประยุกต์,สาขา_เทคโนโลยีชีวภาพ,สาขา_เทคโนโลยีสารสนเทศและการสื่อสาร,หอพัก_หอนอก,หอพัก_หอใน,ยานพาหนะที่ใช้มาเรียน _รถรับจ้าง,ยานพาหนะที่ใช้มาเรียน _รถส่วนตัว,ยานพาหนะที่ใช้มาเรียน _รถเมล์มอ,ยานพาหนะที่ใช้มาเรียน _เดิน
3.91,9000,9000,30000,2.0,19,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2.52,4000,3500,30000,2.0,9,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2.96,3500,3000,30000,2.0,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
2.98,8000,6000,30000,1.0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
3.65,8000,6500,30000,1.0,16,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2.92,8000,5000,30000,1.0,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2.77,4500,4000,30000,1.0,18,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3.44,4000,4000,30000,1.0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
3.05,2800,1680,30000,0.75,15,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3.32,4000,3000,25000,5.0,6,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
3.24,7000,6000,25000,2.0,15,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2.61,6000,4500,25000,2.0,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
3.7,6000,5400,35000,0.5,16,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3.44,5000,3000,25000,2.0,15,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
3.23,5000,4000,25000,1.2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2.62,5000,4000,25000,1.2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
3.32,6000,5000,25000,1.0,18,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3.13,6000,4000,20000,30.0,12,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2.91,9000,9000,20000,3.0,16,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2.66,8000,5000,20000,3.0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2.6,2500,6500,10000,10.0,24,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2.71,5000,4000,20000,3.0,15,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3.0,4000,4000,20000,3.0,24,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2.89,8000,7500,20000,1.0,12,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2.55,5000,5000,20000,2.0,18,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2.69,5000,5000,30000,2.0,14,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2.25,4000,4000,20000,4.0,12,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3.52,5000,4000,20000,2.0,20,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2.79,4000,2500,20000,2.0,15,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2.35,4000,4000,20000,2.0,17,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3.21,2000,3500,20000,2.0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2.61,4000,7000,20000,1.5,6,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3.42,4000,3093,20000,1.2,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
